OMNIWeb Plus Browser Results

Listing for omni_min data from 20150317 to 20150318
Selected parameters:
 1 SYM/H, nT

YYYY DOY HR MN    1 
2015  76  4 44    15
2015  76  4 45    17
2015  76  4 46    32
2015  76  4 47    60
2015  76  4 48    67
2015  76  4 49    63
2015  76  4 50    59
2015  76  4 51    57
2015  76  4 52    57
2015  76  4 53    58
2015  76  4 54    57
2015  76  4 55    54
2015  76  4 56    54
2015  76  4 57    53
2015  76  4 58    53
2015  76  4 59    52
2015  76  5  0    51
2015  76  5  1    50
2015  76  5  2    52
2015  76  5  3    53
2015  76  5  4    55
2015  76  5  5    57
2015  76  5  6    59
2015  76  5  7    60
2015  76  5  8    60
2015  76  5  9    60
2015  76  5 10    60
2015  76  5 11    61
2015  76  5 12    63
2015  76  5 13    63
2015  76  5 14    63
2015  76  5 15    60
2015  76  5 16    59
2015  76  5 17    59
2015  76  5 18    60
2015  76  5 19    60
2015  76  5 20    61
2015  76  5 21    58
2015  76  5 22    54
2015  76  5 23    51
2015  76  5 24    50
2015  76  5 25    52
2015  76  5 26    52
2015  76  5 27    52
2015  76  5 28    53
2015  76  5 29    53
2015  76  5 30    52
2015  76  5 31    52
2015  76  5 32    51
2015  76  5 33    51
2015  76  5 34    52
2015  76  5 35    53
2015  76  5 36    54
2015  76  5 37    54
2015  76  5 38    54
2015  76  5 39    52
2015  76  5 40    48
2015  76  5 41    47
2015  76  5 42    50
2015  76  5 43    54
2015  76  5 44    56
2015  76  5 45    55
2015  76  5 46    54
2015  76  5 47    57
2015  76  5 48    58
2015  76  5 49    58
2015  76  5 50    60
2015  76  5 51    62
2015  76  5 52    61
2015  76  5 53    55
2015  76  5 54    52
2015  76  5 55    49
2015  76  5 56    46
2015  76  5 57    46
2015  76  5 58    51
2015  76  5 59    52
2015  76  6  0    50
2015  76  6  1    48
2015  76  6  2    48
2015  76  6  3    49
2015  76  6  4    49
2015  76  6  5    49
2015  76  6  6    49
2015  76  6  7    50
2015  76  6  8    50
2015  76  6  9    49
2015  76  6 10    47
2015  76  6 11    47
2015  76  6 12    48
2015  76  6 13    50
2015  76  6 14    48
2015  76  6 15    46
2015  76  6 16    46
2015  76  6 17    48
2015  76  6 18    46
2015  76  6 19    47
2015  76  6 20    46
2015  76  6 21    47
2015  76  6 22    47
2015  76  6 23    45
2015  76  6 24    43
2015  76  6 25    43
2015  76  6 26    42
2015  76  6 27    40
2015  76  6 28    38
2015  76  6 29    38
2015  76  6 30    36
2015  76  6 31    35
2015  76  6 32    35
2015  76  6 33    32
2015  76  6 34    29
2015  76  6 35    26
2015  76  6 36    25
2015  76  6 37    24
2015  76  6 38    21
2015  76  6 39    18
2015  76  6 40    17
2015  76  6 41    16
2015  76  6 42    15
2015  76  6 43    14
2015  76  6 44    11
2015  76  6 45    10
2015  76  6 46     8
2015  76  6 47     7
2015  76  6 48     6
2015  76  6 49     4
2015  76  6 50     5
2015  76  6 51    10
2015  76  6 52     4
2015  76  6 53    -1
2015  76  6 54    -2
2015  76  6 55    -2
2015  76  6 56    -1
2015  76  6 57    -2
2015  76  6 58    -5
2015  76  6 59    -6
2015  76  7  0    -8
2015  76  7  1   -13
2015  76  7  2   -11
2015  76  7  3    -8
2015  76  7  4    -8
2015  76  7  5    -9
2015  76  7  6   -11
2015  76  7  7   -11
2015  76  7  8   -11
2015  76  7  9   -12
2015  76  7 10   -12
2015  76  7 11   -11
2015  76  7 12   -12
2015  76  7 13   -13
2015  76  7 14   -13
2015  76  7 15   -13
2015  76  7 16   -14
2015  76  7 17   -14
2015  76  7 18   -14
2015  76  7 19   -13
2015  76  7 20   -14
2015  76  7 21   -15
2015  76  7 22   -16
2015  76  7 23   -17
2015  76  7 24   -18
2015  76  7 25   -19
2015  76  7 26   -19
2015  76  7 27   -20
2015  76  7 28   -20
2015  76  7 29   -20
2015  76  7 30   -21
2015  76  7 31   -21
2015  76  7 32   -21
2015  76  7 33   -24
2015  76  7 34   -27
2015  76  7 35   -28
2015  76  7 36   -29
2015  76  7 37   -32
2015  76  7 38   -32
2015  76  7 39   -31
2015  76  7 40   -31
2015  76  7 41   -31
2015  76  7 42   -31
2015  76  7 43   -29
2015  76  7 44   -28
2015  76  7 45   -27
2015  76  7 46   -27
2015  76  7 47   -27
2015  76  7 48   -28
2015  76  7 49   -28
2015  76  7 50   -28
2015  76  7 51   -29
2015  76  7 52   -30
2015  76  7 53   -30
2015  76  7 54   -32
2015  76  7 55   -33
2015  76  7 56   -33
2015  76  7 57   -35
2015  76  7 58   -37
2015  76  7 59   -38
2015  76  8  0   -38
2015  76  8  1   -39
2015  76  8  2   -40
2015  76  8  3   -39
2015  76  8  4   -40
2015  76  8  5   -42
2015  76  8  6   -44
2015  76  8  7   -44
2015  76  8  8   -42
2015  76  8  9   -41
2015  76  8 10   -41
2015  76  8 11   -43
2015  76  8 12   -44
2015  76  8 13   -45
2015  76  8 14   -42
2015  76  8 15   -42
2015  76  8 16   -41
2015  76  8 17   -39
2015  76  8 18   -39
2015  76  8 19   -39
2015  76  8 20   -40
2015  76  8 21   -40
2015  76  8 22   -42
2015  76  8 23   -44
2015  76  8 24   -45
2015  76  8 25   -47
2015  76  8 26   -48
2015  76  8 27   -50
2015  76  8 28   -52
2015  76  8 29   -53
2015  76  8 30   -54
2015  76  8 31   -53
2015  76  8 32   -54
2015  76  8 33   -54
2015  76  8 34   -56
2015  76  8 35   -58
2015  76  8 36   -59
2015  76  8 37   -60
2015  76  8 38   -61
2015  76  8 39   -63
2015  76  8 40   -64
2015  76  8 41   -67
2015  76  8 42   -69
2015  76  8 43   -71
2015  76  8 44   -71
2015  76  8 45   -72
2015  76  8 46   -73
2015  76  8 47   -73
2015  76  8 48   -73
2015  76  8 49   -72
2015  76  8 50   -70
2015  76  8 51   -69
2015  76  8 52   -70
2015  76  8 53   -69
2015  76  8 54   -69
2015  76  8 55   -69
2015  76  8 56   -70
2015  76  8 57   -72
2015  76  8 58   -76
2015  76  8 59   -78
2015  76  9  0   -78
2015  76  9  1   -78
2015  76  9  2   -80
2015  76  9  3   -80
2015  76  9  4   -80
2015  76  9  5   -80
2015  76  9  6   -82
2015  76  9  7   -84
2015  76  9  8   -85
2015  76  9  9   -87
2015  76  9 10   -90
2015  76  9 11   -92
2015  76  9 12   -91
2015  76  9 13   -90
2015  76  9 14   -92
2015  76  9 15   -93
2015  76  9 16   -94
2015  76  9 17   -95
2015  76  9 18   -95
2015  76  9 19   -97
2015  76  9 20   -96
2015  76  9 21   -94
2015  76  9 22   -93
2015  76  9 23   -92
2015  76  9 24   -93
2015  76  9 25   -95
2015  76  9 26   -96
2015  76  9 27   -96
2015  76  9 28   -97
2015  76  9 29   -98
2015  76  9 30   -97
2015  76  9 31   -97
2015  76  9 32   -97
2015  76  9 33   -98
2015  76  9 34   -98
2015  76  9 35   -97
2015  76  9 36  -100
2015  76  9 37  -101
2015  76  9 38  -100
2015  76  9 39   -99
2015  76  9 40   -98
2015  76  9 41   -98
2015  76  9 42   -96
2015  76  9 43   -93
2015  76  9 44   -92
2015  76  9 45   -94
2015  76  9 46   -94
2015  76  9 47   -93
2015  76  9 48   -93
2015  76  9 49   -93
2015  76  9 50   -93
2015  76  9 51   -92
2015  76  9 52   -91
2015  76  9 53   -89
2015  76  9 54   -87
2015  76  9 55   -86
2015  76  9 56   -85
2015  76  9 57   -85
2015  76  9 58   -84
2015  76  9 59   -84
2015  76 10  0   -84
2015  76 10  1   -83
2015  76 10  2   -83
2015  76 10  3   -82
2015  76 10  4   -81
2015  76 10  5   -80
2015  76 10  6   -78
2015  76 10  7   -78
2015  76 10  8   -77
2015  76 10  9   -76
2015  76 10 10   -75
2015  76 10 11   -74
2015  76 10 12   -73
2015  76 10 13   -72
2015  76 10 14   -71
2015  76 10 15   -71
2015  76 10 16   -72
2015  76 10 17   -71
2015  76 10 18   -70
2015  76 10 19   -69
2015  76 10 20   -70
2015  76 10 21   -70
2015  76 10 22   -69
2015  76 10 23   -69
2015  76 10 24   -70
2015  76 10 25   -71
2015  76 10 26   -72
2015  76 10 27   -72
2015  76 10 28   -71
2015  76 10 29   -71
2015  76 10 30   -71
2015  76 10 31   -71
2015  76 10 32   -71
2015  76 10 33   -70
2015  76 10 34   -69
2015  76 10 35   -70
2015  76 10 36   -70
2015  76 10 37   -70
2015  76 10 38   -70
2015  76 10 39   -70
2015  76 10 40   -68
2015  76 10 41   -67
2015  76 10 42   -67
2015  76 10 43   -67
2015  76 10 44   -67
2015  76 10 45   -67
2015  76 10 46   -66
2015  76 10 47   -66
2015  76 10 48   -65
2015  76 10 49   -65
2015  76 10 50   -63
2015  76 10 51   -62
2015  76 10 52   -61
2015  76 10 53   -61
2015  76 10 54   -61
2015  76 10 55   -62
